Origin Time:2025/01/21 00:17:27
Lon:120.57¢XE
Lat:23.23¢XN
Depth:9.7km
Mag:6.4
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=   5.54,BAZ=255.17,PGA(V)= 493.40,PGA(NS)= 892.15,PGA(EW)=2104.96,PGV(V)=   8.93,PGV(NS)=  30.98,PGV(EW)=  72.95,Int= 6®z,PGA(SUM)=2057.49,PGV(SUM)=  79.10
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  59.08,BAZ=209.32,PGA(V)=  14.03,PGA(NS)=  30.54,PGA(EW)=  33.33,PGV(V)=   0.84,PGV(NS)=   1.41,PGV(EW)=   1.49,Int= 4¯Å,PGA(SUM)=  37.29,PGV(SUM)=   1.74
Stacode=SPT ,Staname=«ÌªF¥«,Stalon=120.50,Stalat=22.68,Dist=  61.85,BAZ=  7.04,PGA(V)=  10.67,PGA(NS)=  21.14,PGA(EW)=  27.97,PGV(V)=   1.95,PGV(NS)=   4.94,PGV(EW)=   5.20,Int= 4¯Å,PGA(SUM)=  30.24,PGV(SUM)=   5.40
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  65.75,BAZ=277.96,PGA(V)=  15.63,PGA(NS)=  28.83,PGA(EW)=  25.92,PGV(V)=   1.33,PGV(NS)=   1.54,PGV(EW)=   1.66,Int= 4¯Å,PGA(SUM)=  33.13,PGV(SUM)=   2.19
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  67.40,BAZ=193.84,PGA(V)=  17.07,PGA(NS)=  28.21,PGA(EW)=  30.01,PGV(V)=   0.99,PGV(NS)=   1.87,PGV(EW)=   1.72,Int= 4¯Å,PGA(SUM)=  32.38,PGV(SUM)=   1.92
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  67.70,BAZ=302.08,PGA(V)=  14.49,PGA(NS)=  13.51,PGA(EW)=  29.83,PGV(V)=   2.38,PGV(NS)=   1.86,PGV(EW)=   2.95,Int= 4¯Å,PGA(SUM)=  31.92,PGV(SUM)=   3.33
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  68.15,BAZ=282.75,PGA(V)=  22.03,PGA(NS)=  29.23,PGA(EW)=  34.19,PGV(V)=   1.72,PGV(NS)=   2.29,PGV(EW)=   2.33,Int= 4¯Å,PGA(SUM)=  38.47,PGV(SUM)=   2.70
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  69.50,BAZ=311.23,PGA(V)=  20.03,PGA(NS)=  38.95,PGA(EW)=  61.11,PGV(V)=   1.48,PGV(NS)=   3.63,PGV(EW)=   6.43,Int= 4¯Å,PGA(SUM)=  72.36,PGV(SUM)=   7.46
Stacode=WSS ,Staname=¹Ø¤s  ,Stalon=120.26,Stalat=22.64,Dist=  72.51,BAZ= 25.84,PGA(V)=  11.94,PGA(NS)=  21.16,PGA(EW)=  33.01,PGV(V)=   1.12,PGV(NS)=   2.38,PGV(EW)=   2.48,Int= 4¯Å,PGA(SUM)=  35.10,PGV(SUM)=   2.66
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  72.58,BAZ=189.92,PGA(V)=  27.30,PGA(NS)=  56.85,PGA(EW)=  76.12,PGV(V)=   0.57,PGV(NS)=   1.98,PGV(EW)=   3.78,Int= 4¯Å,PGA(SUM)=  80.64,PGV(SUM)=   3.83
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist=  72.71,BAZ=150.85,PGA(V)=  40.67,PGA(NS)=  58.37,PGA(EW)=  52.22,PGV(V)=   1.21,PGV(NS)=   3.03,PGV(EW)=   3.54,Int= 4¯Å,PGA(SUM)=  65.17,PGV(SUM)=   4.05
